A,B,BD,BZ,C,CH,CHD,D,DZ,E,F,FT,FS,G,GD,GS,H,I,J,K,KT,L,LS,LT,LP,LV,LD,LF,LJ,LK,LN,LM,M,MD,MS,MP,MPS,MF,N,NT,NK,NTS,NG,NX,ND,NGS,NZ,NJ,O,P,PS,PT,Q,R,RD,RS,S,ST,SH,SK,SP,T,TH,TS,U,V,VD,VS,W,X,Y,Z
0,ibe,ibed,ibes,ice ;ise,0,0,ide ;ied,ides,0,ife,ifed,0,0,iged,iges,0,I ;ie ;y ;ye,ige,ike ;yke ;yche,iked ;yked ;yched,ile ;yle,iles ;yles ;uiles,0,0,0,uiled ;iled,0,0,0,0,0,I'm ;ime ;yme,imed ;ymed,imes ;ymes,0,0,0,ine ;ign,int,0,ints,0,0,ined ;igned,0,ines ;inez,0,0,ipe,ipes,iped,0,ire ;yre,ired ;yred,ires ;yres,0,iced ;eist,0,0,0,ite ;yte ;ight,ithe,ites,0,I've ;ive,ived,ives,0,ikes,0,ize ;ise
0,eeb,0,eebs,eece ;ice ;iece ;eace,eech ;each,eached ;eeched,eed ;ead,eeds ;eads,e ;ee ;ie ;ey ;ea ;i,eef ;eaf ;ief,eefed ;eafed,eefs,eague ;eag,0,eagues ;eags,0,0,ij ;eege,eek ;eak,eaked ;eeked,eel ;eal,eels ;yles ;eeles,0,0,0,eeled ;ealed,0,0,0,0,0,eam ;eem,eemed ;eamed,eems ;eams,0,0,0,een ;ean,0,0,0,0,0,iend,0,iends ;eens ;eans,0,0,eep ;eap,eeps ;eaps,eeped ;eaped,0,eer ;ear,eered ;eard ;iered,eers ;ears ;iers,0,eeced ;eaced ;east,eesh,0,0,eet ;eat,eeth ;eath,eets ;eats,0,eeve ;ieve ;eave ;eve,ieved ;eeved,eeves ;ieves,ew ;ewe ;iw,eaks ;eeks,0,eeze ;ease
a ;ay,abe,0,abes,ace,0,0,ade ;aid,ades,0,afe,0,aifs ;afes,ague,aged,0,0,0,age,ake ;eak,ached ;aked,ale ;ail,ales,0,0,0,aled ;ailed,0,0,0,0,0,ame ;aim,aimed ;amed,aims ;ames,0,0,0,ain ;ane ;eign,aint,ank,aints,ang,anks,ained,angs,ains ;anes,ange,0,ape,apes,aped,0,air ;are ;eir,aired ;ared,airs ;eirs ;ares,0,aste ;aced,0,0,0,ate ;ait ;eight,aith,ates ;aits,0,ave,aved,aves,0,akes ;aches ;eaks,0,aze ;ase
0,ib,ibbed,ibs ;ibz,0,ich ;itch,itched,id,ids,0,if ;yph,ift ;iffed,ifts ;ifs ;yphs,ig,0,0,ih,0,idge,ick ;ic,icked,ill,ills,ilt ;uilt,ilp,0,illed,ilf,ilge,ilk,iln,ilm,im ;imb,immed,imbs ;ims,imp,imps,ymph,in,int ;ynt,ink,ints,ing,inks ;ynx,inned,ings,ins,inge,0,ip,ips,ipped,0,0,0,0,is ;iss,issed ;ist,ish,isk,isp,it,ith,its,0,iv ;ive,ivved,ivs,0,ix ;icks,0,izz ;iz ;is
0,ab,abbed,abs,0,atch,atched,ad,ads,0,augh ;aph ;aff ;affe,aft ;aphed ; affed,afts ;aphs ;affes,ag,0,0,ah ;eah,0,adge,ack ;aque,acked ;act,al,als,alt,alp,alve,alled,alph,0,alc,0,0,am ;amb,ammed,ams ;ambs,amp,amps,amph,an,ant,ank,ance ;ants,0,0,and,0,ans ;ands,0,0,ap,aps,apped,0,0,0,0,ass,ast,ash,ask,asp,at,ath,ats,0,ave ;av,alved,alves,0,ax ;acks ;acts,0,az
0,eb ;ebb,ebbed,ebs,0,etch,etched,ed ;ead,eds,0,ef ;eaf,etf ;effed,effs,egg ;eg,0,eggs ;egs,eh,0,edge,eck ;ech,ecked ;eched,el ;ell,ells ;els,elt,elp,elve,eld,elf ;elph,0,ilk,0,elm ;ealm,em ;egm,emmed,ems,emp,emps,emph,en,ent,0,ents ;ence,0,engths,end ;iend,0,iends ;ends ;enz,enge,0,ep,eps,epped,0,0,0,0,ess,est ;essed,esh,esk,esp,et,eth,ets,0,ev,evved,evs,0,ex ;ecks ;ects,0,ez ;ezz
0,0,0,0,0,0,0,ood ;ould,0,0,0,oofed,oofs,0,0,0,uh,0,0,ook,ooked,ull ;al,ulls,0,0,0,ulled,0,0,0,0,0,0,0,ooms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ure,ured,ures,uss,ussed,ush ;oosh,0,0,ut,0,0,0,0,0,0,0,0,0,0
0,ub,ubbed,ubs,0,utch,utched,ud,uds,0,uff ;ough ;oof,uft ;uffed,ufts ;uffs,ug,0,ugs,uhh,0,udge,uck,ucked,ull,ulls,ult,ulp,0,ulled,ulf,uldge,ulk,0,0,um ;umb,umbed ;ummed,umbs ;ums,ump,umps,0,un,unt,unc ;unk,unts ;unce,ung,unks,und,ungs,uns unds,unge,0,up,ups,upped,0,0,0,0,us ;ious,ust ;ussed,ush,usk,usp,utt,0,uts,0,ove,oved,oves,0,ux ;ucks ;ucts,0,uzz ;as
0,ob,obbed,obs,0,otch,otched,od ;odd ;awd,ods ;odds,0,off ;awf,oft,ofts,og,0,ogs,0,0,odge,awk ;ock ;alk,awked ;ocked ;alked,all ;awl,awls ;alls,0,0,0,alled ;auled,0,0,0,0,0,alm ;omb ;om,almed ;ombed ;ommed,alms ;ombs ;oms,omp,omps,0,awn ;on ;ohn,aunt ;ant,ankh ;onk,onts ;once,ong,ankhs ;onks,ond,ongs,ons ;awns ;onds,0,0,op,ops,opt ;opped,0,0,ard,ars,oss ;auce,ost,osh,osk,asp,ought,oth,ots ;aughts ;auts,0,0,0,0,aw ;awe,ox ;aux ;alks ;ocks,0,oz ;ozz ;auze
0,0,0,0,0,ouch,ouched,oud,ouds,0,ouf ***,0,0,0,ouged,0,0,0,ouge,0,0,owl,owls,0,0,0,owled,0,0,0,0,0,0,0,0,0,0,0,own,0,0,ounce,0,0,ound ;owned,0,ounds,ounge,0,0,0,0,0,our,0,0,owse ;ouse,oust,0,0,0,out ;ought,0,outs,0,0,ouved,ouvs,ow ;ao,0,0,0
